EF,0.002,0.02,0.035,0.05,0.24,0.301,0.135,0.158,0.269,0.24,0.054,0.061,0.057,0.0,0.06,0.021,0.043,0.11,0.039,0.041,0.056,0.002,0.065,0.054,3
EF,0.055,0.033,0.06,0.03,0.228,0.205,0.108,0.136,0.207,0.318,0.003,0.047,0.019,0.044,0.021,0.018,0.003,0.012,0.079,0.023,0.063,0.056,0.006,0.026,3
BE,0.021,0.037,0.016,0.066,0.257,0.256,0.126,0.109,0.17,0.22,0.014,0.035,0.028,0.065,0.076,0.063,0.004,0.057,0.068,0.099,0.009,0.006,0.008,0.009,5
BE,0.03,0.048,0.05,0.01,0.252,0.264,0.014,0.064,0.198,0.224,0.063,0.053,0.042,0.013,0.13,0.142,0.146,0.132,0.159,0.192,0.056,0.054,0.032,0.002,5
BE,0.013,0.041,0.004,0.026,0.3,0.308,0.029,0.063,0.173,0.184,0.057,0.013,0.043,0.034,0.154,0.165,0.158,0.194,0.185,0.137,0.043,0.049,0.033,0.014,5
BE,0.009,0.054,0.038,0.001,0.187,0.316,0.019,0.034,0.21,0.164,0.017,0.063,0.005,0.021,0.187,0.139,0.102,0.186,0.159,0.221,0.059,0.035,0.031,0.02,5
EF,0.04,0.019,0.041,0.042,0.281,0.234,0.164,0.111,0.206,0.275,0.005,0.055,0.065,0.025,0.067,0.034,0.011,0.126,0.09,0.117,0.019,0.021,0.057,0.042,3
BE,0.066,0.056,0.011,0.024,0.297,0.267,0.004,0.035,0.317,0.22,0.035,0.04,0.039,0.02,0.184,0.164,0.159,0.177,0.19,0.172,0.038,0.052,0.002,0.018,5
AF,0.14,0.125,0.005,0.003,0.09,0.164,0.002,0.017,0.139,0.126,0.048,0.05,0.007,0.039,0.012,0.011,0.021,0.099,0.058,0.046,0.057,0.024,0.041,0.002,1
AF,0.111,0.136,0.054,0.003,0.086,0.078,0.026,0.063,0.157,0.047,0.04,0.019,0.06,0.061,0.091,0.05,0.065,0.055,0.116,0.014,0.031,0.044,0.032,0.039,1
AF,0.159,0.128,0.019,0.031,0.092,0.092,0.045,0.017,0.112,0.133,0.004,0.043,0.065,0.025,0.089,0.042,0.014,0.064,0.079,0.075,0.031,0.02,0.005,0.029,1
AF,0.157,0.155,0.043,0.065,0.057,0.121,0.015,0.051,0.15,0.096,0.008,0.062,0.053,0.019,0.037,0.063,0.023,0.052,0.008,0.079,0.041,0.012,0.006,0.051,1
AF,0.138,0.156,0.009,0.019,0.175,0.074,0.004,0.051,0.135,0.169,0.024,0.048,0.012,0.032,0.046,0.039,0.065,0.031,0.058,0.051,0.023,0.016,0.014,0.009,1
AF,0.156,0.151,0.019,0.015,0.125,0.12,0.038,0.016,0.139,0.145,0.053,0.046,0.066,0.041,0.054,0.005,0.062,0.115,0.043,0.074,0.023,0.048,0.048,0.007,1
AF,0.13,0.138,0.052,0.0,0.107,0.092,0.015,0.011,0.168,0.106,0.047,0.051,0.019,0.006,0.011,0.03,0.046,0.038,0.016,0.121,0.051,0.001,0.003,0.002,1
AF,0.164,0.164,0.046,0.01,0.112,0.109,0.058,0.052,0.121,0.193,0.012,0.046,0.062,0.066,0.101,0.037,0.008,0.036,0.117,0.115,0.048,0.065,0.025,0.064,1
AF,0.166,0.115,0.018,0.041,0.107,0.088,0.042,0.036,0.088,0.142,0.019,0.018,0.024,0.044,0.047,0.057,0.005,0.095,0.053,0.066,0.004,0.035,0.051,0.023,1
AF,0.162,0.144,0.009,0.008,0.09,0.2,0.004,0.06,0.06,0.107,0.033,0.028,0.01,0.027,0.1,0.065,0.056,0.022,0.045,0.014,0.054,0.025,0.008,0.034,1
AF,0.133,0.1,0.051,0.043,0.076,0.061,0.027,0.048,0.155,0.134,0.021,0.021,0.045,0.008,0.055,0.033,0.056,0.079,0.049,0.064,0.046,0.032,0.059,0.039,1
AF,0.159,0.156,0.026,0.024,0.099,0.143,0.024,0.055,0.115,0.147,0.018,0.024,0.036,0.008,0.045,0.03,0.017,0.07,0.084,0.06,0.023,0.003,0.014,0.016,1
AF,0.156,0.124,0.025,0.005,0.095,0.139,0.051,0.043,0.15,0.142,0.021,0.058,0.056,0.002,0.023,0.009,0.05,0.025,0.061,0.089,0.042,0.019,0.057,0.013,1
AF,0.156,0.15,0.015,0.034,0.097,0.128,0.001,0.021,0.101,0.11,0.054,0.048,0.007,0.007,0.056,0.062,0.01,0.051,0.037,0.032,0.066,0.045,0.0,0.038,1
AF,0.136,0.135,0.036,0.003,0.196,0.035,0.023,0.03,0.153,0.113,0.002,0.01,0.044,0.019,0.04,0.033,0.044,0.057,0.017,0.029,0.002,0.008,0.064,0.012,1
